Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Defect_of_vehicle,Road_allignment,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
17:02:00,Monday,18-30,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,Moving Backward,Slight Injury
17:02:00,Monday,31-50,Male,Above 10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight Injury
17:02:00,Monday,18-30,Male,1-2yr,Lorry,No defect,,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Changing lane to the left,Serious Injury
1:06:00,Sunday,18-30,Male,5-10yr,Bus,No defect,Tangent road with mild grade and flat terrain,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury
1:06:00,Sunday,18-30,Male,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight Injury
14:15:00,Friday,31-50,Male,,,,,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Overloading,Slight Injury
17:30:00,Wednesday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Other,Slight Injury
17:20:00,Friday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,No priority to vehicle,Slight Injury
17:20:00,Friday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Changing lane to the right,Slight Injury
17:20:00,Friday,18-30,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Moving Backward,Serious Injury
14:40:00,Saturday,18-30,Male,1-2yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Changing lane to the left,Serious Injury
14:40:00,Saturday,31-50,Male,No License,Automobile,No defect,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,No priority to pedestrian,Serious Injury
17:45:00,Thursday,18-30,Male,1-2yr,Bus,No defect,Escarpment,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,No distancing,Slight Injury
17:45:00,Thursday,31-50,Male,5-10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,No priority to vehicle,Slight Injury
17:45:00,Thursday,31-50,Male,Above 10yr,Automobile,No defect,Escarpment,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,No distancing,Serious Injury
22:45:00,Monday,18-30,Female,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,No distancing,Serious Injury
22:45:00,Monday,18-30,Male,5-10yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Moving Backward,Slight Injury
22:45:00,Monday,18-30,Male,2-5yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Changing lane to the right,Serious Injury
22:45:00,Monday,18-30,Male,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,No priority to pedestrian,Slight Injury
8:20:00,Tuesday,18-30,Male,Below 1yr,Long lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Moving Backward,Serious Injury
8:20:00,Tuesday,Under 18,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Getting off the vehicle improperly,Slight Injury
15:10:00,Thursday,18-30,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Overtaking,Serious Injury
